Tahun;Bulan;tgl;temp7;temp13;temp18;temp_avg;temp_24;temp_max;temp_min;CH;light_hour;light_per;pck;tgl;press;humid7;humid13;humid18;humid_avg;humid_24;ws_abg;mod_dir;max_ws;dir;rainfall_category
2021;1;01.00;26.03.00;32.03.00;28.08.00;28.04.00;28.04.00;32.09.00;24.06.00;50;02.01;26.25.00;  RA  ;01.00;1009.03.00;9.272.339.050.173.580;650.188.026.263.269;799.792.315.683.067;83.00.00;82.00.00;03.25;B;06.00;190.00.00;0 (ringan)
2021;1;02.00;26.01.00;31.05.00;27.02.00;27.07.00;27.05.00;31.07.00;25.02.00;-;02.02;27.500.000.000.000.000;    Lightning;02.00;1009.03.00;9.030.761.062.566.060;6.940.288.984.888.300;8.671.938.446.937.910;84.00.00;86.00.00;3.125;TG;07.00;50.00.00;1 (sedang)
2021;1;03.00;26.06.00;31.04.00;26.06.00;27.08.00;27.08.00;32.05.00;25.06.00;04.03;03.07;46.25.00;TS RA  ;03.00;1008.08.00;865.437.471.238.459;6.997.066.069.376.440;9.041.467.422.295.300;83.00.00;83.00.00;39.583.333.333.333.300;BL;10.00;160.00.00;2 (lebat)
2021;1;04.00;26.02.00;31.08.00;29.05.00;28.04.00;28.06.00;33.00.00;25.05.00;09.09;02.02;27.500.000.000.000.000;  RA  ;04.00;1008.07.00;864.234.912.104.948;6.288.699.987.233.130;7.478.721.885.027.760;78.00.00;78.00.00;3.375;BL;07.00;330.00.00;
2021;1;05.00;27.02.00;26.08.00;26.06.00;27.00.00;27.00.00;32.04.00;25.04.00;03.05;02.01;26.25.00;  RA  ;05.00;1008.04.00;9.208.725.069.158.200;9.045.670.689.176.880;8.885.779.948.974.680;91.00.00;88.00.00;35.833.333.333.333.300;B;16.00;310.00.00;
2021;1;06.00;26.04.00;33.00.00;29.00.00;28.07.00;28.03.00;33.06.00;25.02.00;11;04.03;53.75;  RA  ;06.00;1008.05.00;8.725.592.172.444.500;6.371.561.446.154.340;779.671.551.350.185;79.00.00;78.00.00;29.166.666.666.666.600;BL;14.00;330.00.00;
2021;1;07.00;25.06.00;33.02.00;25.03.00;27.04.00;27.02.00;33.02.00;25.02.00;TTU;02.08;35.00.00;TS RA  ;07.00;1008.01.00;8.623.817.780.941.160;59.840.283.338.908.200;950.111.149.402.581;82.00.00;86.00.00;7.416.666.666.666.660;BL;20.00;360.00.00;
2021;1;08.00;26.05.00;33.05.00;26.06.00;28.03.00;27.09.00;33.08.00;25.01.00;34.07.00;03.02;40.00.00;  RA Lightning;08.00;1008.02.00;8.883.314.673.487.670;62.325.562.634.038.600;85.778.016.219.296;81.00.00;83.00.00;4.458.333.333.333.330;BL;10.00;330.00.00;
2021;1;09.00;26.08.00;34.02.00;29.01.00;29.02.00;28.04.00;34.05.00;25.02.00;00.04;05.03;66.25.00;TS RA  ;09.00;1007.04.00;8.736.803.915.131.280;5.618.868.226.539.780;8.150.935.308.376.470;78.00.00;83.00.00;36.666.666.666.666.600;BL;08.00;360.00.00;
2021;1;10.00;26.07.00;28.00.00;27.04.00;27.02.00;27.02.00;32.00.00;25.04.00;13.05;01.02;15.00;TS RA  ;10.00;1007.05.00;9.200.060.869.098.450;8.994.329.909.209.470;8.602.435.915.620.520;90.00.00;88.00.00;31.666.666.666.666.600;B;12.00;10.00;
2021;1;11.00;26.02.00;31.05.00;27.02.00;27.08.00;27.06.00;32.09.00;25.04.00;5;02.02;27.500.000.000.000.000;  RA  ;11.00;1008.00.00;9.191.163.812.288.510;6.387.552.906.556.410;8.976.980.912.726.530;84.00.00;86.00.00;25.416.666.666.666.600;B;07.00;300.00.00;
2021;1;12.00;26.04.00;32.09.00;29.04.00;28.08.00;28.08.00;33.04.00;25.04.00;01.03;01.00;12.05;  RA  ;12.00;1008.09.00;911.584.089.418.139;63.066.067.152.581.300;7.541.299.607.333.550;80.00.00;80.00.00;3.375;S;09.00;320.00.00;
2021;1;13.00;26.08.00;28.04.00;27.06.00;27.04.00;27.08.00;33.04.00;25.04.00;-;02.04;30.00.00;TS    ;13.00;1008.09.00;8.890.671.270.734.420;8.485.339.814.969.880;8.758.525.622.462.760;88.00.00;82.00.00;4.166.666.666.666.660;BL;11.00;310.00.00;
2021;1;14.00;26.08.00;33.07.00;27.05.00;28.07.00;28.06.00;33.09.00;25.05.00;29.07.00;03.07;46.25.00;  RA  ;14.00;1009.01.00;828.189.619.905.688;5.688.272.002.697.980;8.605.442.464.121.220;77.00.00;76.00.00;4.291.666.666.666.660;BL;09.00;20.00;
2021;1;15.00;26.08.00;31.06.00;29.06.00;28.07.00;28.09.00;31.07.00;26.02.00;00.03;00.01;01.25;  RA  ;15.00;1008.04.00;828.189.619.905.688;6.274.399.121.594.070;6.953.087.395.956.540;74.00.00;73.00.00;4.916.666.666.666.660;BL;13.00;300.00.00;
