temp7,temp13,temp18,temp_avg,temp_24,temp_max,temp_min,light_hour,light_per,tgl.1,press,humid7,humid13,humid18,humid_avg,humid_24
25.4,29.6,27.5,27.0,27.1,30.0,24.9,0.0,0.0,19.0,1009.9,90.15280438641372,70.84319737423779,72.3004745428737,81.0,80.0
26.4,33.5,29.4,28.9,28.7,33.8,24.4,7.2,90.0,5.0,1013.0,87.25592172444505,56.17647248673631,75.41299607333552,77.0,75.0
27.0,33.3,28.4,28.9,28.6,34.2,25.0,1.6,20.0,18.0,1010.6,77.73426207886264,47.99152700333489,73.51620176559189,69.0,76.0
27.4,33.6,28.6,29.3,29.0,34.2,25.9,6.2,77.5,26.0,1011.8,90.58016869644074,61.82563799669092,80.605071488962,81.0,79.0
26.8,34.2,29.8,29.4,29.7,34.5,26.6,7.6,95.0,10.0,1009.9,81.32459406590085,51.94324744140984,70.96144059935796,71.0,73.0
26.3,35.5,30.0,29.5,30.2,36.0,26.1,7.7,96.25,26.0,1011.4,81.11588796115174,48.01914120646993,71.7328099909835,70.0,69.0
26.6,35.1,26.0,28.6,27.9,35.2,24.8,6.1,76.25,23.0,1011.2,88.08362644659897,52.7038716069236,88.70788403829688,79.0,82.0
28.9,28.8,30.4,29.3,29.9,36.0,27.0,4.9,61.25000000000001,6.0,1011.3,78.61867236526368,68.35931322254112,78.58176927597704,76.0,76.0
26.1,28.9,29.2,27.6,28.1,31.0,25.5,2.5,31.25,14.0,1013.1,92.69089060839856,75.84544786942958,76.67978016846965,84.0,83.0
27.0,30.5,29.8,28.6,29.3,34.2,26.2,4.0,50.0,3.0,1010.3,84.39287507978128,76.61510021929023,75.6119273332423,80.0,76.0
25.2,33.6,30.4,28.6,29.2,33.6,25.1,7.8,97.5,21,1012.4,80.63632775645905,50.8892728098128,63.08544839275151,69.0,68.0
25.7,33.7,29.8,28.7,28.7,36.0,24.4,7.9,98.75,25.0,1011.5,80.85787971678428,45.81521404427532,66.42898956944073,68.0,67.0
26.1,32.7,29.9,28.7,28.7,33.5,25.5,6.0,75.0,8.0,1011.2,92.69089060839856,61.18761377220371,74.32281093507183,80.0,81.0
28.6,34.2,30.0,30.4,30.3,34.5,27.8,7.7,96.25,21.0,1009.1,79.1889797069995,58.359022663683454,77.05525422069958,73.0,74.0
27.8,33.5,28.2,29.3,29.5,34.1,27.0,6.7,83.75,30.0,1012.6,86.14367824732606,61.1888169564757,82.60358383674154,79.0,79.0
25.6,30.4,27.0,27.2,27.1,31.6,25.2,0.6,7.5,6.0,1010.9,91.80168143581014,71.95797343114366,79.92959762455779,84.0,84.0
27.2,32.3,29.4,29.0,28.2,33.6,24.4,5.4,67.5,23.0,1009.1,84.46076283297424,62.06220839326235,80.9222185119632,78.0,83.0
26.0,33.4,29.5,28.7,29.1,33.7,24.9,7.6,95.0,29.0,1012.0,87.14137533712541,51.770125917571264,71.44477393192955,74.0,74.0
27.9,33.9,29.4,29.8,29.1,35.6,25.6,6.0,75.0,26.0,1009.9,77.45204443952214,55.41091339887332,78.14728097822254,72.0,74.0
27.6,34.3,30.2,29.9,30.1,34.8,27.4,7.8,97.5,4.0,1011.8,89.8574620701041,60.63208402982801,77.14674669916431,79.0,78.0
26.4,32.9,29.4,28.8,28.8,33.4,25.4,1.0,12.5,12.0,1008.9,91.1584089418139,63.06606715258136,75.41299607333552,80.0,80.0
26.9,33.0,30.3,29.3,29.1,34.2,25.6,0.7,8.75,21.0,1008.7,74.07088206254878,54.66861086808057,71.25177978558011,69.0,74.0
26.9,27.3,27.8,27.2,28.1,33.8,26.5,4.6,57.49999999999999,18.0,1010.7,91.25511694264776,85.99413468120541,81.72565273312577,88.0,84.0
27.0,32.5,29.7,29.1,29.3,32.7,26.9,4.7,58.75,23.0,1010.9,86.66145969485348,65.1500115285397,73.55068380826383,78.0,77.0
27.0,34.1,30.0,29.5,29.7,34.8,26.6,6.8,85.0,2.0,1009.3,87.42320827831851,60.491264976535234,79.77607128619746,79.0,78.0
24.6,32.1,27.9,27.3,27.5,32.4,22.5,7.3,91.25,8.0,1014.9,85.11365227039191,49.48701912548783,65.73271056871017,71.0,71.0
28.0,32.1,29.8,29.5,29.7,33.4,25.1,8.0,100.0,23.0,1008.5,78.21076876497683,58.42786265624271,72.93984299242373,72.0,73.0
26.1,31.5,27.2,27.7,27.5,31.7,25.2,2.2,27.500000000000004,2.0,1009.3,90.30761062566066,69.40288984888305,86.71938446937911,84.0,86.0
26.0,29.4,28.2,27.4,27.8,30.6,25.9,1.1,13.750000000000002,29.0,1011.5,90.28585167216605,75.41299607333552,80.44149476925925,84.0,84.0
27.8,34.8,31.0,30.4,30.1,35.0,26.3,8.0,100.0,27.0,1010.5,76.69257023057095,39.163598874117405,66.60058665765746,65.0,66.0
27.2,34.7,31.7,30.2,30.7,36.1,26.4,7.8,97.5,23.0,1010.9,92.08725069158208,58.18623193909479,75.85683730278903,80.0,75.0
28.5,35.3,32.0,31.1,30.7,36.3,26.2,7.7,96.25,4.0,1010.0,73.57195967851267,52.35695856303521,65.42092889006355,66.0,72.0
26.6,32.5,28.6,28.6,28.9,33.2,25.8,4.9,61.25000000000001,20.0,1011.3,88.85779948974681,62.78951597391542,77.78325870166977,80.0,79.0
23.4,32.8,28.4,27.0,27.8,34.0,23.4,7.5,93.75,8.0,1013.2,81.40521184843048,45.93518583743619,64.12514674266251,68.0,66.0
27.3,32.6,28.6,29.0,29.1,34.2,26.0,8.0,100.0,21.0,1012.9,78.6041571650091,58.25051907104071,75.00257048572264,73.0,70.0
26.8,29.5,28.6,27.9,28.1,32.6,25.8,0.6,7.5,16.0,1010.8,91.23598014520164,77.50580158753323,83.46872963731322,86.0,85.0
26.4,27.4,28.4,27.2,27.5,30.4,25.8,1.8,22.5,15.0,1010.5,87.25592172444505,86.02435915620528,77.68986333665214,85.0,83.0
27.7,33.3,29.4,29.5,30.3,33.8,27.5,4.1,51.24999999999999,4.0,1011.0,84.62737153208909,61.61610018455558,79.5296241834943,78.0,77.0
26.2,33.4,29.2,28.8,29.2,34.5,25.2,7.3,91.25,13.0,1011.5,84.11395800824295,49.6543586479227,72.60634996395858,73.0,73.0
28.2,30.6,29.0,29.0,28.9,32.4,25.8,1.3,16.25,31.0,1013.1,87.74228204283912,68.22602122405351,84.32152757735344,82.0,84.0
26.9,34.0,30.8,29.7,29.6,35.9,25.4,7.9,98.75,27.0,1010.2,78.41595394066255,48.14256672759157,57.95443140005343,66.0,68.0
28.0,33.4,26.8,29.1,27.8,34.6,23.6,4.9,61.25000000000001,9.0,1010.2,86.20240588236928,61.6862891896572,90.45670689176886,81.0,83.0
28.5,35.0,31.0,30.8,30.4,35.2,25.8,8.0,100.0,16.0,1009.3,72.88667933792142,45.59144111422908,64.7465863283378,64.0,66.0
27.0,32.8,29.2,29,28.0,32.8,25.2,3.5,43.75,26.0,1009.9,90.49829607025424,65.93660591896318,80.84415378724536,82.0,85.0
27.2,32.7,30.4,29.4,29.3,32.9,26.5,1.3,16.25,9.0,1011.4,85.96375009384045,58.896283681605645,70.0180915333506,75.0,73.0
26.7,34.1,29.6,29.3,29.4,35.0,26.0,7.5,93.75,10.0,1012.3,79.79643644399138,56.65058245430971,75.51297311970721,73.0,74.0
25.6,33.6,29.4,28.6,28.4,34.4,23.4,7.8,97.5,5.0,1011.6,85.4548699350217,48.2787298585728,63.59330427415417,71.0,67.0
27.8,35.3,30.5,30.4,30.5,35.6,26.8,7.0,87.5,6.0,1011.9,82.45524897010897,55.454452136126456,68.79880788811707,72.0,73.0
25.9,33.5,30.0,28.8,29.0,34.8,25.0,8.0,100.0,7.0,1009.9,76.43481459752137,50.79904456298672,67.8426000449919,68.0,67.0
26.9,33.4,29.0,29.1,29.0,33.6,26.2,6.2,77.5,11,1009.1,88.93097500973069,61.11790506145757,82.17990099313865,80.0,80.0
26.2,34.5,30.5,29.4,29.3,34.8,24.5,8.0,100.0,8.0,1010.6,75.1229049149635,41.2117196688747,67.52939348140707,65.0,67.0
26.4,34.2,29.1,29.0,29.0,34.6,24.4,7.6,95.0,20.0,1011.0,81.15807983141401,51.42133216386652,72.54975296285609,72.0,71.0
27.3,33.3,30.4,29.6,29.2,34.7,25.6,6.3,78.75,13.0,1008.9,89.02674996707928,61.04664375876321,77.90829513323318,79.0,79.0
26.2,33.2,30.2,29,29.2,33.7,24.8,8.0,100.0,28.0,1010.3,79.56966890734832,52.66522130342414,66.69916687023925,70.0,68.0
26.2,34.0,30.4,29.2,29.7,35.4,25.4,7.7,96.25,2.0,1011.6,78.07670594017172,52.29542773842082,65.57410812806509,69.0,66.0
27.3,31.3,29.8,28.9,29.3,33.7,26.5,2.5,31.25,16.0,1011.1,92.10430680990672,72.4481707917155,76.96282446391139,83.0,80.0
26.0,33.4,28.2,28.4,28.2,33.6,25.0,7.1,88.75,6.0,1011.1,87.47779542494723,83.93373561349404,93.56288753328454,88.0,88.0
22.3,32.3,28.6,26.4,27.4,32.6,21.7,7.8,97.5,14.0,1014.0,83.4069280016863,46.472321167193385,56.63074399713764,67.0,65.0
24.5,33.7,28.5,27.8,28.6,34.5,23.8,7.5,93.75,23.0,1011.7,81.89196189704953,51.505922569171005,71.52359698659109,72.0,70.0
27.1,34.0,30.6,29.7,29.3,34.3,26.4,6.3,78.75,22.0,1008.9,79.97351165421398,55.49137135821913,74.67843617830178,73.0,75.0
23.8,33.2,28.4,27.3,27.3,33.4,21.9,7.7,96.25,13.0,1014.6,81.58570035464463,43.78397137906428,64.12514674266251,68.0,65.0
26.0,33.5,28.7,28.6,28.9,34.5,26.0,7.8,97.5,18,1010.4,82.50960343341829,57.27594635156619,75.74469711480636,75.0,76.0
28.8,35.8,32.0,31.4,31.6,36.4,27.4,8.0,100.0,29.0,1009.8,74.42088280638572,51.25655178246188,64.81952142882747,66.0,68.0
26.9,32.5,29.2,28.9,29.0,33.4,25.6,5.8,72.5,23.0,1010.1,82.10982816801659,64.55660496617458,75.31198191091583,76.0,78.0
27.8,36.6,32.6,31.2,30.9,37.2,25.8,8.0,100.0,15.0,1011.0,77.4037242952487,39.23662251270893,52.13113885069303,62.0,61.0
27.6,33.8,31.5,30.1,30.7,34.4,27.4,7.7,96.25,23.0,1010.2,89.23502869611663,60.29102241264269,67.223150346921,76.0,75.0
26.4,34.0,30.9,29.4,30.3,35.0,26.2,8.0,100.0,26.0,1010.0,91.1584089418139,55.49137135821913,74.17492272393234,78.0,75.0
25.4,33.0,28.8,28.2,28.5,33.8,23.6,8.0,100.0,26.0,1013.6,81.4957643905576,46.13822878804788,69.02303570610684,70.0,66.0
26.9,29.1,26.0,27.2,26.9,31.2,24.8,1.9,23.75,08,1007.1,84.35865952611987,80.10288209331219,95.08952159285738,86.0,88.0
27.5,35.8,30.6,30.4,30.3,36.2,25.4,8.0,100.0,22.0,1010.0,76.54136946386251,41.1466964212568,60.789978564915714,64.0,66.0
